departement,nom_reel,pop_2012,longitude_degre,latitude_degre
75,Paris,2211000,2.34445,48.86
13,Marseille,851400,5.37639,43.2967
69,Lyon,474900,4.84139,45.7589
31,Toulouse,439600,1.43333,43.6
6,Nice,344900,7.25,43.7
44,Nantes,283300,-1.55,47.2167
67,Strasbourg,272100,7.75,48.5833
34,Montpellier,253000,3.88333,43.6
33,Bordeaux,235900,-0.566667,44.8333
59,Lille,225800,3.06667,50.6333
35,Rennes,206700,-1.68333,48.0833
51,Reims,181500,4.03333,49.25
76,Le Havre,178800,0.133333,49.5
42,Saint-Étienne,172700,4.4,45.4333
83,Toulon,166700,5.93333,43.1167
38,Grenoble,156700,5.71667,45.1667
21,Dijon,151600,5.01667,47.3167
49,Angers,148400,-0.55,47.4667
72,Le Mans,143500,0.2,48
13,Aix-en-Provence,142700,5.43333,43.5333
29,Brest,142100,-4.48333,48.4
69,Villeurbanne,141100,4.88333,45.7667
30,Nîmes,140300,4.35,43.8333
87,Limoges,140100,1.25,45.85
63,Clermont-Ferrand,139000,3.08333,45.7833
37,Tours,135500,0.683333,47.3833
80,Amiens,134400,2.3,49.9
57,Metz,122800,6.16667,49.1333
25,Besançon,117600,6.03333,47.25
66,Perpignan,116700,2.88333,42.6833
45,Orléans,113300,1.9,47.9167
92,Boulogne-Billancourt,112200,2.25,48.8333
68,Mulhouse,111900,7.33333,47.75
14,Caen,109900,-0.35,49.1833
76,Rouen,109400,1.08333,49.4333
54,Nancy,106400,6.2,48.6833
93,Saint-Denis,103700,2.35833,48.9333
95,Argenteuil,103300,2.25,48.95
93,Montreuil,102200,2.43333,48.8667
59,Roubaix,95900,3.16667,50.7
59,Dunkerque,93600,2.36667,51.05
59,Tourcoing,92600,3.15,50.7167
84,Avignon,90100,4.81667,43.95
92,Nanterre,89600,2.2,48.9
86,Poitiers,89300,0.333333,46.5833
94,Créteil,89300,2.46667,48.7833
78,Versailles,86700,2.13333,48.8
92,Courbevoie,85100,2.25222,48.8973
94,Vitry-sur-Seine,84100,2.4,48.7833
64,Pau,84000,-0.366667,43.3
92,Colombes,83700,2.25,48.9167
93,Aulnay-sous-Bois,82200,2.51667,48.95
92,Asnières-sur-Seine,81700,2.28556,48.9112
92,Rueil-Malmaison,78100,2.2,48.8833
6,Antibes,77000,7.11667,43.5833
17,La Rochelle,75800,-1.15,46.1667
94,Saint-Maur-des-Fossés,75700,2.5,48.8
94,Champigny-sur-Marne,75100,2.51667,48.8167
62,Calais,74800,1.83333,50.95
93,Aubervilliers,74500,2.38333,48.9167
6,Cannes,72900,7.01667,43.55
34,Béziers,71700,3.25,43.35
18,Bourges,69000,2.4,47.0833
44,Saint-Nazaire,66900,-2.2,47.2833
68,Colmar,66900,7.36667,48.0833
93,Drancy,66200,2.45,48.9333
33,Mérignac,66100,-0.633333,44.8333
26,Valence,64500,4.9,44.9333
29,Quimper,63900,-4.1,48
92,Issy-les-Moulineaux,63300,2.26667,48.8167
93,Noisy-le-Grand,63100,2.56667,48.85
92,Levallois-Perret,63000,2.28333,48.9
59,Villeneuve-d'Ascq,62700,3.14167,50.6833
10,Troyes,61500,4.08333,48.3
92,Antony,61200,2.3,48.75
92,Neuilly-sur-Seine,60300,2.26667,48.8833
83,La Seyne-sur-Mer,60000,5.88333,43.1
95,Sarcelles,59200,2.38333,49
92,Clichy,58400,2.3,48.9
56,Lorient,58100,-3.36667,47.75
79,Niort,58100,-0.466667,46.3167
33,Pessac,57600,-0.616667,44.8
69,Vénissieux,57600,4.88333,45.6833
2,Saint-Quentin,56800,3.28333,49.85
73,Chambéry,56800,5.93333,45.5667
94,Ivry-sur-Seine,56700,2.38333,48.8167
95,Cergy,56100,2.06667,49.0333
82,Montauban,56000,1.35,44.0167
83,Hyères,55100,6.11667,43.1167
60,Beauvais,55000,2.08333,49.4333
49,Cholet,54100,-0.883333,47.0667
93,Bondy,53300,2.46667,48.9
94,Villejuif,53200,2.36667,48.8
56,Vannes,53000,-2.75,47.6667
94,Maisons-Alfort,52900,2.43333,48.8
77,Chelles,52800,2.6,48.8833
94,Fontenay-sous-Bois,52800,2.48333,48.85
13,Arles,52700,4.63333,43.6667
83,Fréjus,52700,6.73611,43.4339
93,Pantin,52700,2.4,48.9
93,Épinay-sur-Seine,52700,2.30833,48.95
91,Évry,52500,2.45,48.6333
85,La Roche-sur-Yon,51700,-1.43333,46.6667
6,Grasse,51600,6.91667,43.6667
78,Sartrouville,51400,2.18333,48.95
92,Clamart,51400,2.26667,48.8
11,Narbonne,51000,3,43.1833
8,Charleville-Mézières,50900,4.71667,49.7667
53,Laval,50900,-0.766667,48.0667
27,Évreux,50800,1.15,49.0167
93,Sevran,50800,2.53333,48.9333
93,Le Blanc-Mesnil,50700,2.45,48.9333
90,Belfort,50300,6.86667,47.6333
74,Annecy,50100,6.11667,45.9
19,Brive-la-Gaillarde,49700,1.53333,45.15
6,Cagnes-sur-Mer,48900,7.15,43.6667
81,Albi,48800,2.15,43.9333
77,Meaux,48700,2.86667,48.95
35,Saint-Malo,48200,-2.01667,48.65
94,Vincennes,48100,2.43333,48.85
93,Bobigny,47700,2.45,48.9
11,Carcassonne,47600,2.35,43.2167
41,Blois,46800,1.33333,47.5833
92,Montrouge,46700,2.31667,48.8167
13,Martigues,46500,5.05,43.4
13,Aubagne,46100,5.56667,43.2833
51,Châlons-en-Champagne,46100,4.36667,48.9583
36,Châteauroux,46000,1.7,46.8167
71,Chalon-sur-Saône,46000,4.85,46.7833
22,Saint-Brieuc,45900,-2.78333,48.5167
92,Suresnes,45600,2.23333,48.8667
93,Saint-Ouen,45600,2.33333,48.9
92,Meudon,44700,2.24167,48.8083
94,Alfortville,44700,2.41667,48.8
64,Bayonne,44500,-1.48333,43.4833
92,Puteaux,44500,2.23333,48.8667
65,Tarbes,44200,0.083333,43.2333
62,Boulogne-sur-Mer,43800,1.61667,50.7167
44,Saint-Herblain,43200,-1.65,47.2167
16,Angoulême,43100,0.15,45.65
81,Castres,43000,2.25,43.6
34,Sète,42800,3.68333,43.4
62,Arras,42800,2.78333,50.2833
59,Valenciennes,42700,3.53333,50.35
13,Istres,42600,4.98333,43.5167
78,Mantes-la-Jolie,42600,1.71667,48.9833
59,Douai,42400,3.06667,50.3667
59,Wattrelos,41800,3.21667,50.7
92,Gennevilliers,41800,2.3,48.9333
93,Livry-Gargan,41800,2.55,48.9167
91,Corbeil-Essonnes,41700,2.48333,48.6
60,Compiègne,41600,2.83333,49.4167
69,Saint-Priest,41500,4.93333,45.6917
13,Salon-de-Provence,41400,5.1,43.6333
57,Thionville,41100,6.16667,49.3667
6,Le Cannet,40900,7.01667,43.5667
69,Caluire-et-Cuire,40900,4.85,45.8
78,Saint-Germain-en-Laye,40900,2.08333,48.9
93,Rosny-sous-Bois,40800,2.48333,48.8667
33,Talence,40600,-0.6,44.8167
30,Alès,40500,4.08333,44.1333
91,Massy,40500,2.28333,48.7333
69,Vaulx-en-Velin,40400,4.93333,45.7833
1,Bourg-en-Bresse,40200,5.21667,46.2
50,Cherbourg-Octeville,39800,-1.65,49.65
95,Garges-lès-Gonesse,39600,2.41667,48.9667
3,Montluçon,39500,2.6,46.3333
28,Chartres,39200,1.5,48.45
69,Bron,39100,4.91667,45.7333
59,Marcq-en-Barœul,38900,3.08333,50.6667
77,Melun,38900,2.66667,48.5333
93,Noisy-le-Sec,38700,2.46667,48.8833
5,Gap,38600,6.08333,44.5667
92,Bagneux,38500,2.3,48.8
93,Gagny,38300,2.53333,48.8833
94,Choisy-le-Roi,38200,2.41667,48.7667
44,Rezé,37900,-1.56667,47.2
64,Anglet,37900,-1.53333,43.4833
58,Nevers,37600,3.16667,46.9833
78,Poissy,37500,2.05,48.9333
91,Savigny-sur-Orge,37300,2.35,48.6667
89,Auxerre,36900,3.56667,47.8
93,La Courneuve,36900,2.38333,48.9167
13,Vitrolles,36600,5.25,43.4667
83,Draguignan,36600,6.46667,43.5333
62,Lens,36100,2.83333,50.4333
42,Roanne,35900,4.06889,46.0367
37,Joué-lès-Tours,35800,0.666667,47.35
93,Villepinte,35800,2.53333,48.9667
38,Échirolles,35700,5.71667,45.1333
38,Saint-Martin-d'Hères,35600,5.76667,45.1667
42,Saint-Chamond,35500,4.5,45.4667
93,Tremblay-en-France,35500,2.57639,48.9562
67,Haguenau,35100,7.78333,48.8167
26,Montélimar,34800,4.75,44.5667
77,Pontault-Combault,34800,2.60528,48.7984
78,Conflans-Sainte-Honorine,34800,2.1,48.9833
83,Six-Fours-les-Plages,34800,5.83945,43.0934
60,Creil,34600,2.48333,49.2667
93,Stains,34600,2.38333,48.95
71,Mâcon,34300,4.83333,46.3
69,Villefranche-sur-Saône,34200,4.71667,45.9833
78,Montigny-le-Bretonneux,34000,2.03333,48.7667
83,Saint-Raphaël,34000,6.76667,43.4167
91,Sainte-Geneviève-des-Bois,34000,2.33333,48.6333
93,Bagnolet,34000,2.41667,48.8667
13,Marignane,33900,5.21667,43.4167
13,La Ciotat,33800,5.6,43.1667
76,Dieppe,33600,1.08333,49.9333
86,Châtellerault,33500,0.533333,46.8
26,Romans-sur-Isère,33400,5.05,45.05
31,Colomiers,33200,1.35,43.6167
47,Agen,33200,0.633333,44.2
93,Neuilly-sur-Marne,33200,2.53333,48.85
95,Franconville,33200,2.23333,48.9833
88,Épinal,33000,6.45,48.1833
74,Thonon-les-Bains,32800,6.48333,46.3667
92,Châtillon,32500,2.28333,48.8
59,Maubeuge,32400,3.96667,50.2833
59,Cambrai,32300,3.23333,50.1667
78,Mureaux,32300,1.91667,49
94,Le Perreux-sur-Marne,32300,2.5,48.85
62,Liévin,32000,2.76667,50.4167
92,Châtenay-Malabry,31900,2.26667,48.7667
91,Viry-Châtillon,31700,2.38333,48.6667
28,Dreux,31200,1.36667,48.7333
54,Vandœuvre-lès-Nancy,31100,6.18333,48.65
67,Schiltigheim,31100,7.75,48.6
78,Houilles,30900,2.2,48.9167
92,Malakoff,30900,2.3,48.8167
94,Nogent-sur-Marne,30900,2.48333,48.8333
78,Plaisir,30800,1.95,48.8167
94,Villeneuve-Saint-Georges,30800,2.45,48.7333
91,Athis-Mons,30600,2.4,48.7167
95,Goussainville,30600,2.46667,49.0167
74,Annemasse,30500,6.25,46.2
91,Palaiseau,30400,2.25,48.7167
6,Saint-Laurent-du-Var,30300,7.18333,43.6667
40,Mont-de-Marsan,30200,-0.5,43.8833
76,Sotteville-lès-Rouen,30000,1.1,49.4167
38,Vienne,29900,4.86667,45.5167
78,Chatou,29900,2.15,48.8833
92,Saint-Cloud,29800,2.21667,48.8417
95,Pontoise,29700,2.1,49.05
69,Rillieux-la-Pape,29600,4.89833,45.8214
94,Thiais,29600,2.38333,48.7667
69,Meyzieu,29500,5.00333,45.7672
84,Orange,29500,4.8,44.1333
94,L'Haÿ-les-Roses,29500,2.33333,48.7833
78,Le Chesnay,29300,2.125,48.825
6,Vallauris,29100,7.05,43.5833
24,Périgueux,29100,0.716667,45.1833
93,Clichy-sous-Bois,29100,2.55,48.9167
84,Carpentras,29000,5.05,44.05
91,Yerres,29000,2.5,48.7167
93,Pierrefitte-sur-Seine,28900,2.36667,48.9667
6,Menton,28800,7.5,43.7833
33,Villenave-d'Ornon,28800,-0.55,44.7667
91,Draveil,28700,2.41667,48.6833
15,Aurillac,28600,2.45,44.9167
78,Guyancourt,28600,2.06667,48.7667
94,Charenton-le-Pont,28600,2.41667,48.8167
2,Soissons,28500,3.33333,49.3667
78,Trappes,28500,2,48.7833
93,Villemomble,28200,2.5,48.8833
